,Job,Plan,CPU time,Time,Sum,CPU unit,Time unit
HM,1,0.txt,1955,1954,3909, ms,ms.
HM,1,1.txt,13776,13841,27617, ms,ms.
HM,3,0.txt,-1,-1,-1,ms,ms
HM,3,1.txt,1122,1121,2243, ms,ms.
HM,3,2.txt,1622,1623,3245, ms,ms.
HM,3,3.txt,-1,-1,-1,ms,ms
HM,3,4.txt,1280,1279,2559, ms,ms.
HM,3,5.txt,6356,6358,12714, ms,ms.
HM,3,6.txt,-1,-1,-1,ms,ms
HM,3,7.txt,1435,1436,2871, ms,ms.
HM,3,8.txt,1099,1108,2207, ms,ms.
HM,3,9.txt,1735,1735,3470, ms,ms.
HM,3,10.txt,1335,1336,2671, ms,ms.
HM,3,11.txt,1628,1629,3257, ms,ms.
HM,3,12.txt,1645,1646,3291, ms,ms.
HM,3,13.txt,-1,-1,-1,ms,ms
HM,3,14.txt,1507,1508,3015, ms,ms.
HM,3,15.txt,1003,1004,2007, ms,ms.
HM,3,16.txt,7070,7072,14142, ms,ms.
HM,3,17.txt,-1,-1,-1,ms,ms
HM,3,18.txt,1058,1059,2117, ms,ms.
HM,3,19.txt,1662,1662,3324, ms,ms.
HM,5,0.txt,2295,2295,4590, ms,ms.
HM,5,1.txt,-1,-1,-1,ms,ms
HM,5,2.txt,-1,-1,-1,ms,ms
HM,5,3.txt,1850,1850,3700, ms,ms.
HM,5,4.txt,2209,2210,4419, ms,ms.
HM,5,5.txt,1890,1889,3779, ms,ms.
HM,5,6.txt,1743,1743,3486, ms,ms.
HM,5,7.txt,5311,5364,10675, ms,ms.
HM,5,8.txt,1930,1930,3860, ms,ms.
HM,5,9.txt,1473,1478,2951, ms,ms.
HM,5,10.txt,-1,-1,-1,ms,ms
HM,5,11.txt,1424,1423,2847, ms,ms.
HM,5,12.txt,-2,-2,-2,ms,ms
HM,5,13.txt,1451,1451,2902, ms,ms.
HM,5,14.txt,-2,-2,-2,ms,ms
HM,5,15.txt,-1,-1,-1,ms,ms
HM,5,16.txt,22796,22863,45659, ms,ms.
HM,5,17.txt,-1,-1,-1,ms,ms
HM,5,18.txt,-1,-1,-1,ms,ms
HM,5,19.txt,-1,-1,-1,ms,ms
HM,6,0.txt,572,571,1143, ms,ms.
HM,6,1.txt,587,587,1174, ms,ms.
HM,10,0.txt,-1,-1,-1,ms,ms
HM,10,1.txt,852,852,1704, ms,ms.
HM,10,2.txt,1933,1937,3870, ms,ms.
HM,10,3.txt,-1,-1,-1,ms,ms
HM,10,4.txt,-1,-1,-1,ms,ms
HM,10,5.txt,-1,-1,-1,ms,ms
HM,10,6.txt,955,971,1926, ms,ms.
HM,10,7.txt,1921,1924,3845, ms,ms.
HM,10,8.txt,-1,-1,-1,ms,ms
HM,10,9.txt,3766,3772,7538, ms,ms.
HM,10,10.txt,-1,-1,-1,ms,ms
HM,10,11.txt,3737,3762,7499, ms,ms.
HM,10,12.txt,-1,-1,-1,ms,ms
HM,10,13.txt,9665,9668,19333, ms,ms.
HM,10,14.txt,-1,-1,-1,ms,ms
HM,10,15.txt,9682,9684,19366, ms,ms.
HM,10,16.txt,2046,2046,4092, ms,ms.
HM,10,17.txt,-1,-1,-1,ms,ms
HM,10,18.txt,1214,1217,2431, ms,ms.
HM,10,19.txt,25652,25652,51304, ms,ms.
HM,12,0.txt,3995,3996,7991, ms,ms.
HM,12,1.txt,1307,1308,2615, ms,ms.
HM,12,2.txt,1275,1274,2549, ms,ms.
HM,12,3.txt,1301,1303,2604, ms,ms.
HM,12,4.txt,1099,1099,2198, ms,ms.
HM,12,5.txt,1401,1401,2802, ms,ms.
HM,12,6.txt,1315,1314,2629, ms,ms.
HM,12,7.txt,4107,4107,8214, ms,ms.
HM,12,8.txt,1108,1108,2216, ms,ms.
HM,12,9.txt,1221,1221,2442, ms,ms.
HM,12,10.txt,1030,1032,2062, ms,ms.
HM,12,11.txt,1137,1138,2275, ms,ms.
HM,14,0.txt,920,924,1844, ms,ms.
HM,14,1.txt,1089,1088,2177, ms,ms.
HM,14,2.txt,815,816,1631, ms,ms.
HM,14,3.txt,908,907,1815, ms,ms.
HM,14,4.txt,-1,-1,-1,ms,ms
HM,14,5.txt,796,797,1593, ms,ms.
HM,14,6.txt,-1,-1,-1,ms,ms
HM,14,7.txt,1105,1105,2210, ms,ms.
HM,14,8.txt,801,801,1602, ms,ms.
HM,14,9.txt,984,983,1967, ms,ms.
HM,14,10.txt,1016,1017,2033, ms,ms.
HM,14,11.txt,775,775,1550, ms,ms.
